"","Year","State","CoC.Number","CoC.Name","Measures","Count"
"3612",2016-01-01,"Florida","FL-515","Panama City/Bay, Jackson Counties CoC","Unsheltered Parenting Youth Under 18",0
"3613",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Children of Parenting Youth",0
"3614",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Chronically Homeless",335
"3615",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Chronically Homeless Individuals",323
"3616",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Chronically Homeless People in Families",12
"3617",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Homeless Individuals",601
"3618",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Homeless People in Families",470
"3619",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Homeless Unaccompanied Children (Under 18)",50
"3620",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Homeless Unaccompanied Young Adults (Age 18-24)",0
"3621",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Homeless Unaccompanied Youth (Under 25)",50
"3622",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Homeless Veterans",12
"3623",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Parenting Youth (Under 25)",0
"3624",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Parenting Youth Age 18-24",0
"3625",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Parenting Youth Under 18",0
"3626",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Children of Parenting Youth",0
"3627",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Chronically Homeless",37
"3628",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Chronically Homeless Individuals",25
"3629",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Chronically Homeless People in Families",12
"3630",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Homeless",313
"3631",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Homeless Individuals",126
"3632",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Homeless People in Families",187
"3633",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Homeless Unaccompanied Children (Under 18)",0
"3634",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",0
"3635",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",0
"3636",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Homeless Veterans",12
"3637",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Parenting Youth (Under 25)",0
"3638",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Parenting Youth Age 18-24",0
"3639",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Sheltered Parenting Youth Under 18",0
"3640",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Total Homeless",1071
"3641",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Children of Parenting Youth",0
"3642",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Chronically Homeless",298
"3643",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Chronically Homeless Individuals",298
"3644",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Chronically Homeless People in Families",0
"3645",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Homeless",758
"3646",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Homeless Individuals",475
"3647",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Homeless People in Families",283
"3648",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",50
"3649",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",0
"3650",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",50
"3651",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Homeless Veterans",0
"3652",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Parenting Youth (Under 25)",0
"3653",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Parenting Youth Age 18-24",0
"3654",2016-01-01,"Florida","FL-517","Hendry, Hardee, Highlands Counties CoC","Unsheltered Parenting Youth Under 18",0
"3655",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Children of Parenting Youth",5
"3656",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Chronically Homeless",216
"3657",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Chronically Homeless Individuals",175
"3658",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Chronically Homeless People in Families",41
"3659",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Homeless Individuals",885
"3660",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Homeless People in Families",260
"3661",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Homeless Unaccompanied Children (Under 18)",13
"3662",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Homeless Unaccompanied Young Adults (Age 18-24)",253
"3663",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Homeless Unaccompanied Youth (Under 25)",266
"3664",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Homeless Veterans",140
"3665",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Parenting Youth (Under 25)",3
"3666",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Parenting Youth Age 18-24",3
"3667",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Parenting Youth Under 18",0
"3668",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Children of Parenting Youth",1
"3669",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Chronically Homeless",7
"3670",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Chronically Homeless Individuals",5
"3671",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Chronically Homeless People in Families",2
"3672",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Homeless",96
"3673",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Homeless Individuals",54
"3674",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Homeless People in Families",42
"3675",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Homeless Unaccompanied Children (Under 18)",11
"3676",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",2
"3677",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",13
"3678",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Homeless Veterans",28
"3679",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Parenting Youth (Under 25)",1
"3680",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Parenting Youth Age 18-24",1
"3681",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Sheltered Parenting Youth Under 18",0
"3682",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Total Homeless",1145
"3683",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Children of Parenting Youth",4
"3684",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Chronically Homeless",209
"3685",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Chronically Homeless Individuals",170
"3686",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Chronically Homeless People in Families",39
"3687",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Homeless",1049
"3688",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Homeless Individuals",831
"3689",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Homeless People in Families",218
"3690",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",2
"3691",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",251
"3692",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",253
"3693",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Homeless Veterans",112
"3694",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Parenting Youth (Under 25)",2
"3695",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Parenting Youth Age 18-24",2
"3696",2016-01-01,"Florida","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Unsheltered Parenting Youth Under 18",0
"3697",2016-01-01,"Florida","FL-519","Pasco County CoC","Children of Parenting Youth",28
"3698",2016-01-01,"Florida","FL-519","Pasco County CoC","Chronically Homeless",404
"3699",2016-01-01,"Florida","FL-519","Pasco County CoC","Chronically Homeless Individuals",267
"3700",2016-01-01,"Florida","FL-519","Pasco County CoC","Chronically Homeless People in Families",137
"3701",2016-01-01,"Florida","FL-519","Pasco County CoC","Homeless Individuals",793
"3702",2016-01-01,"Florida","FL-519","Pasco County CoC","Homeless People in Families",262
"3703",2016-01-01,"Florida","FL-519","Pasco County CoC","Homeless Unaccompanied Children (Under 18)",127
"3704",2016-01-01,"Florida","FL-519","Pasco County CoC","Homeless Unaccompanied Young Adults (Age 18-24)",61
"3705",2016-01-01,"Florida","FL-519","Pasco County CoC","Homeless Unaccompanied Youth (Under 25)",188
"3706",2016-01-01,"Florida","FL-519","Pasco County CoC","Homeless Veterans",100
"3707",2016-01-01,"Florida","FL-519","Pasco County CoC","Parenting Youth (Under 25)",17
"3708",2016-01-01,"Florida","FL-519","Pasco County CoC","Parenting Youth Age 18-24",17
"3709",2016-01-01,"Florida","FL-519","Pasco County CoC","Parenting Youth Under 18",0
"3710",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Children of Parenting Youth",4
"3711",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Chronically Homeless",13
"3712",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Chronically Homeless Individuals",13
"3713",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Chronically Homeless People in Families",0
"3714",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Homeless",195
"3715",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Homeless Individuals",113
"3716",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Homeless People in Families",82
"3717",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Homeless Unaccompanied Children (Under 18)",3
"3718",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",11
"3719",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",14
"3720",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Homeless Veterans",30
"3721",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Parenting Youth (Under 25)",2
"3722",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Parenting Youth Age 18-24",2
"3723",2016-01-01,"Florida","FL-519","Pasco County CoC","Sheltered Parenting Youth Under 18",0
"3724",2016-01-01,"Florida","FL-519","Pasco County CoC","Total Homeless",1055
"3725",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Children of Parenting Youth",24
"3726",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Chronically Homeless",391
"3727",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Chronically Homeless Individuals",254
"3728",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Chronically Homeless People in Families",137
"3729",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Homeless",860
"3730",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Homeless Individuals",680
"3731",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Homeless People in Families",180
"3732",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",124
"3733",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",50
"3734",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",174
"3735",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Homeless Veterans",70
"3736",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Parenting Youth (Under 25)",15
"3737",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Parenting Youth Age 18-24",15
"3738",2016-01-01,"Florida","FL-519","Pasco County CoC","Unsheltered Parenting Youth Under 18",0
"3739",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Children of Parenting Youth",16
"3740",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Chronically Homeless",33
"3741",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Chronically Homeless Individuals",28
"3742",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Chronically Homeless People in Families",5
"3743",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Homeless Individuals",414
"3744",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Homeless People in Families",181
"3745",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Homeless Unaccompanied Children (Under 18)",0
"3746",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Homeless Unaccompanied Young Adults (Age 18-24)",30
"3747",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Homeless Unaccompanied Youth (Under 25)",30
"3748",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Homeless Veterans",49
"3749",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Parenting Youth (Under 25)",9
"3750",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Parenting Youth Age 18-24",9
"3751",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Parenting Youth Under 18",0
"3752",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Children of Parenting Youth",13
"3753",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Chronically Homeless",10
"3754",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Chronically Homeless Individuals",5
"3755",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Chronically Homeless People in Families",5
"3756",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Homeless",303
"3757",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Homeless Individuals",157
"3758",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Homeless People in Families",146
"3759",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Homeless Unaccompanied Children (Under 18)",0
"3760",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",15
"3761",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",15
"3762",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Homeless Veterans",30
"3763",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Parenting Youth (Under 25)",7
"3764",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Parenting Youth Age 18-24",7
"3765",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Sheltered Parenting Youth Under 18",0
"3766",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Total Homeless",595
"3767",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Children of Parenting Youth",3
"3768",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Chronically Homeless",23
"3769",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Chronically Homeless Individuals",23
"3770",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Chronically Homeless People in Families",0
"3771",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Homeless",292
"3772",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Homeless Individuals",257
"3773",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Homeless People in Families",35
"3774",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",0
"3775",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",15
"3776",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",15
"3777",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Homeless Veterans",19
"3778",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Parenting Youth (Under 25)",2
"3779",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Parenting Youth Age 18-24",2
"3780",2016-01-01,"Florida","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Unsheltered Parenting Youth Under 18",0
"3781",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Children of Parenting Youth",90
"3782",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Chronically Homeless",472
"3783",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Chronically Homeless Individuals",435
"3784",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Chronically Homeless People in Families",37
"3785",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Homeless Individuals",3182
"3786",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Homeless People in Families",1053
"3787",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Homeless Unaccompanied Children (Under 18)",46
"3788",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Homeless Unaccompanied Young Adults (Age 18-24)",131
"3789",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Homeless Unaccompanied Youth (Under 25)",177
"3790",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Homeless Veterans",157
"3791",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Parenting Youth (Under 25)",46
"3792",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Parenting Youth Age 18-24",46
"3793",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Parenting Youth Under 18",0
"3794",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Children of Parenting Youth",90
"3795",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Chronically Homeless",135
"3796",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Chronically Homeless Individuals",98
"3797",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Chronically Homeless People in Families",37
"3798",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Homeless",3253
"3799",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Homeless Individuals",2202
"3800",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Homeless People in Families",1051
"3801",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Homeless Unaccompanied Children (Under 18)",45
"3802",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",120
"3803",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",165
"3804",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Homeless Veterans",126
"3805",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Parenting Youth (Under 25)",46
"3806",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Parenting Youth Age 18-24",46
"3807",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Sheltered Parenting Youth Under 18",0
"3808",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Total Homeless",4235
"3809",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Children of Parenting Youth",0
"3810",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Chronically Homeless",337
"3811",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Chronically Homeless Individuals",337
"3812",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Chronically Homeless People in Families",0
"3813",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Homeless",982
"3814",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Homeless Individuals",980
"3815",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Homeless People in Families",2
"3816",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",1
"3817",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",11
"3818",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",12
"3819",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Homeless Veterans",31
"3820",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Parenting Youth (Under 25)",0
"3821",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Parenting Youth Age 18-24",0
"3822",2016-01-01,"Florida","FL-600","Miami/Dade County CoC","Unsheltered Parenting Youth Under 18",0
"3823",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Children of Parenting Youth",25
"3824",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Chronically Homeless",430
"3825",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Chronically Homeless Individuals",400
"3826",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Chronically Homeless People in Families",30
"3827",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Homeless Individuals",1844
"3828",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Homeless People in Families",458
"3829",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Homeless Unaccompanied Children (Under 18)",14
"3830",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Homeless Unaccompanied Young Adults (Age 18-24)",130
"3831",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Homeless Unaccompanied Youth (Under 25)",144
"3832",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Homeless Veterans",210
"3833",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Parenting Youth (Under 25)",19
"3834",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Parenting Youth Age 18-24",19
"3835",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Parenting Youth Under 18",0
"3836",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Children of Parenting Youth",24
"3837",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Chronically Homeless",150
"3838",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Chronically Homeless Individuals",139
"3839",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Chronically Homeless People in Families",11
"3840",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Homeless",1520
"3841",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Homeless Individuals",1085
"3842",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Homeless People in Families",435
"3843",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Homeless Unaccompanied Children (Under 18)",6
"3844",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",101
"3845",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",107
"3846",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Homeless Veterans",129
"3847",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Parenting Youth (Under 25)",18
"3848",2016-01-01,"Florida","FL-601","Ft Lauderdale/Broward County CoC","Sheltered Parenting Youth Age 18-24",18
